Model,Optimization,Set,RÂ²,RMSE,MAE,MAPE
Ridge,Default,Train,0.7605759828232271,0.031279284011758376,0.024613714408782992,13.419202313039607
Ridge,Default,Test,0.6683137404996009,0.032654276683062956,0.024183083646001056,13.583895737420196
Ridge,Tuned(GA),Train,0.7787864416577751,0.030066219075449558,0.02338794515193587,12.786878191951748
Ridge,Tuned(GA),Test,0.6362163999847013,0.034197777796025085,0.025684221694842548,14.59996639531908
SVM,Default,Train,0.8543359844685863,0.02439771117646285,0.016648421038869866,8.154148903562017
SVM,Default,Test,0.7201299609484237,0.02999539131786045,0.020212163492028406,10.696565640530924
SVM,Tuned(GA),Train,0.8859158870213509,0.021591635088645658,0.013417593599305328,6.482379484839676
SVM,Tuned(GA),Test,0.7452288173918381,0.028618803938403835,0.018583085239184977,9.88268157968302
MLP,Default,Train,0.950321036779597,0.014248173950202007,0.010873207245341025,5.853906965655434
MLP,Default,Test,0.8334729440580393,0.023137622439810327,0.017061627556857032,9.072173524514733
MLP,Tuned(GA),Train,0.9918286033528818,0.005778579503166833,0.004089221481549174,2.471459474446094
MLP,Tuned(GA),Test,0.8557291702924364,0.021536027277101737,0.014628483303016833,7.086497617660442
GBDT,Default,Train,0.9994485286557069,0.001501185711113431,0.001182427668207768,0.6893082357130209
GBDT,Default,Test,0.7165202934063359,0.03018820671531066,0.018268556077942404,9.022321912368254
GBDT,Tuned(GA),Train,0.9999996224425972,3.9279363505507075e-05,3.4096087308164e-05,0.02086641899929904
GBDT,Tuned(GA),Test,0.7791374921508747,0.026646325422597924,0.016269107870179055,8.255237716381423
TabPFN,Default,Train,0.9967151401190121,0.0036637967347537405,0.00259420909956314,1.4580413513860433
TabPFN,Default,Test,0.8780881949811972,0.019796992047127298,0.011533054656683372,5.782248841103363
